date,daily_discharge_max
2006-06-28,0.012
2006-06-29,1.135
2006-06-30,0.117
2006-07-01,1.018
2006-07-02,0.267
2006-07-03,0.153
2006-07-04,0.017
2006-07-05,0.012
2006-07-07,0.019
2006-07-08,0.352
2006-07-09,0.32
2006-07-10,1.427
2006-07-12,0.029
2006-07-13,0.021
2006-07-14,0.017
2006-07-15,0.544
2006-07-16,0.024
2006-07-17,0.014
2006-07-18,0.011
2006-07-19,0.035
2006-07-25,0.015
2006-07-27,0.26
2006-07-28,0.038
2006-07-29,0.371
2006-07-30,2.069
2006-07-31,0.028
2006-08-03,0.188
2006-08-05,0.144
2006-08-06,0.118
2006-08-07,0.109
2006-08-09,0.11
2006-08-10,0.066
2006-08-11,0.082
2006-08-15,0.052
2006-08-16,0.12
2006-08-17,0.034
2006-08-18,0.132
2006-08-25,0.039
2006-08-26,0.7
2006-08-27,0.044
2006-08-28,0.015
2006-09-02,0.01
2006-09-03,0.03
2006-09-04,0.151
2006-09-05,0.87
2006-09-06,0.364
2006-09-07,0.178
2006-09-12,0.026
2006-09-15,0.022
2006-09-22,0.011
2006-09-23,0.017
2006-09-24,0.01
2006-09-25,0.93
2006-09-28,0.018
2006-10-03,0.032
2006-10-04,0.013
2006-10-05,0.027
2006-10-06,0.011
2006-10-07,0.011
2006-10-08,0.009
2006-10-09,0.103
2006-10-10,0.394
2006-10-11,2.334
2006-10-12,1.215
2006-10-13,0.145
2006-10-20,0.016
2006-10-27,0.01
2006-10-28,0.022
2006-10-29,0.01
2006-10-30,0.023
2006-11-01,0.015
2006-11-02,0.01
2006-11-03,0.024
2006-11-11,0.014
2006-11-12,0.023
2006-11-13,0.011
2006-11-14,0.012
2006-11-22,0.019
2006-11-28,0.246
2006-11-29,0.297
2006-11-30,0.039
2006-12-01,0.94
2006-12-02,0.128
2006-12-03,0.037
2006-12-04,0.029
2006-12-05,0.639
2006-12-06,2.323
2006-12-07,0.042
2006-12-13,0.014
2006-12-14,0.011
2006-12-15,0.01
2006-12-16,0.017
2006-12-17,0.345
2006-12-18,0.025
2006-12-22,0.012
2006-12-28,0.015
2006-12-29,0.108
2006-12-30,0.118
2006-12-31,0.062
2007-01-01,0.181
2007-01-02,0.015
2007-01-04,0.017
2007-01-05,0.013
2007-01-06,0.009
2007-01-07,0.013
2007-01-08,0.017
2007-01-09,0.009
2007-01-12,0.015
2007-01-13,0.049
2007-01-14,0.073
2007-01-15,0.025
2007-01-16,0.023
2007-01-17,0.009
2007-01-18,0.09
2007-01-19,0.028
2007-01-20,0.188
2007-01-21,0.011
2007-01-22,0.009
2007-02-03,0.014
2007-02-04,0.014
2007-02-05,0.014
2007-03-27,0.015
2007-03-28,1.807
2007-03-29,0.117
2007-03-30,0.283
2007-04-04,0.04
2007-04-18,0.022
2007-04-21,0.017
2007-04-22,1.131
2007-04-23,1.744
2007-04-24,1.041
2007-04-25,0.266
2007-04-26,1.197
2007-04-27,0.085
2007-04-28,0.03
2007-04-29,0.014
2007-04-30,0.68
2007-05-01,0.448
