week,discharge,Temperature,DOC
2000-01-04,NA,21.00,NA
2000-01-11,NA,20.00,NA
2000-01-18,NA,18.00,NA
2000-01-25,NA,20.00,0.59
2000-02-01,NA,19.00,2.93
2000-02-08,NA,19.50,0.67
2000-02-15,0.01,20.00,0.73
2000-02-22,0.03,20.00,2.32
2000-02-29,0.01,19.00,0.79
2000-03-07,0.02,19.00,0.59
2000-03-14,0.02,19.00,0.67
2000-03-21,0.02,19.50,1.01
2000-04-04,0.02,18.00,0.75
2000-04-11,0.03,19.00,0.80
2000-04-18,0.02,18.50,1.00
2000-04-25,0.02,19.80,1.04
2000-03-28,0.02,18.00,0.70
2000-05-02,0.03,19.00,0.84
2000-05-09,0.02,19.00,0.84
2000-05-16,0.01,21.00,1.05
2000-05-23,0.01,21.00,0.90
2000-05-30,NA,NA,4.77
2000-06-06,0.01,21.00,1.00
2000-06-13,0.01,21.50,2.13
2000-06-20,0.01,22.00,1.08
2000-06-27,0.01,22.00,2.10
2000-07-05,0.01,22.50,0.82
2000-07-11,0.01,22.80,0.92
2000-07-18,0.01,22.80,1.07
2000-07-25,0.01,23.00,2.03
2000-08-01,0.01,22.50,2.46
2000-08-08,0.01,22.50,1.78
2000-08-15,0.01,22.00,2.52
2000-08-22,0.01,23.00,0.88
2000-08-29,NA,NA,1.49
2000-09-05,NA,NA,0.82
2000-09-12,0.01,23.50,1.59
2000-09-19,0.02,23.00,2.05
2000-09-26,0.01,23.00,1.08
2000-10-03,0.01,22.50,2.08
2000-10-10,0.01,23.00,1.45
2000-10-17,0.01,22.50,0.67
2000-10-24,0.01,22.00,1.56
2000-10-31,0.01,23.00,0.78
2000-11-07,0.03,21.00,1.05
2000-11-14,0.01,21.50,1.16
2000-11-21,0.01,21.10,1.82
2000-11-28,0.01,22.00,1.62
2000-12-05,0.01,21.50,0.70
2000-12-12,0.01,19.00,1.95
2000-12-19,NA,18.50,1.43
2000-12-26,0.01,18.50,0.94
2001-01-02,0.01,18.50,1.39
2001-01-09,0.02,18.50,0.71
2001-01-16,0.02,18.00,2.15
2001-01-23,0.02,18.00,0.76
2001-01-30,0.02,17.00,1.92
2001-02-06,0.01,18.50,1.02
2001-02-13,0.01,18.00,1.21
2001-02-20,0.01,18.00,2.04
2001-02-27,0.01,17.00,0.88
2001-03-06,0.02,18.50,0.69
2001-03-13,0.02,18.50,0.72
2001-03-20,0.02,19.00,1.01
2001-03-27,0.01,19.00,1.02
2001-04-03,0.02,19.00,0.91
2001-04-10,0.01,18.50,0.83
2001-04-17,0.01,19.00,0.68
2001-04-24,0.07,19.00,3.65
2001-05-01,0.04,19.00,2.56
2001-05-08,0.01,19.50,1.23
2001-05-15,0.01,20.00,0.77
2001-05-22,0.01,20.50,1.24
2001-05-29,0.01,20.50,1.80
2001-06-05,0.01,20.00,1.59
2001-06-12,0.02,21.00,0.73
2001-06-19,0.02,21.00,0.92
2001-06-26,NA,NA,1.22
2001-07-03,NA,NA,2.34
2001-07-10,NA,NA,1.40
2001-07-17,NA,NA,1.14
2001-07-24,NA,NA,5.05
2001-07-31,NA,NA,2.33
2001-08-07,NA,NA,1.46
2001-08-14,NA,NA,0.97
2001-08-21,NA,NA,0.94
2001-08-28,NA,NA,2.67
2001-09-04,0.01,22.80,1.20
2001-09-11,0.01,23.10,1.03
2001-09-18,0.01,23.10,1.14
2001-09-25,0.01,22.70,1.44
2001-10-02,0.02,23.10,1.13
2001-10-09,0.02,22.70,3.09
2001-10-16,0.03,22.10,2.68
2001-10-23,0.01,22.50,1.76
2001-10-30,0.01,22.50,1.14
2001-11-06,0.01,22.20,2.46
2001-11-13,0.01,21.80,0.94
2001-11-20,0.01,21.30,0.86
2001-11-27,0.01,20.60,1.21
2001-12-04,0.01,21.20,2.39
2001-12-11,0.01,21.50,1.55
2001-12-18,0.17,21.40,1.93
2001-12-26,0.03,20.80,0.79
2002-01-02,0.01,21.10,0.82
2002-01-08,0.01,20.90,1.25
2002-01-15,0.01,20.80,0.95
2002-01-22,0.01,20.70,1.41
2002-01-29,0.01,20.30,1.32
2002-02-05,0.01,20.00,0.84
2002-02-12,0.01,20.20,0.78
2002-02-19,0.01,20.80,0.96
2002-02-26,0.01,19.80,1.12
2002-03-05,0.01,19.60,1.14
2002-03-12,0.01,20.10,1.38
2002-03-19,0.01,20.30,2.04
2002-03-26,0.02,20.90,0.55
2002-04-02,0.02,20.80,1.31
2002-04-09,0.11,20.30,3.36
2002-04-16,0.77,20.40,3.52
2002-04-23,0.05,21.00,2.40
2002-04-30,0.01,21.10,0.92
2002-05-07,0.11,21.10,2.48
2002-05-14,0.01,21.30,0.97
2002-05-21,0.01,NA,1.08
2002-05-28,0.02,21.40,3.11
2002-06-04,0.01,22.50,1.50
2002-06-11,0.01,22.40,1.12
2002-06-18,0.04,22.10,3.93
2002-06-25,0.01,22.40,1.13
2002-07-02,0.01,22.40,0.92
2002-07-09,0.01,22.50,1.27
2002-07-16,0.02,22.80,1.17
2002-07-23,0.01,22.80,2.20
2002-07-30,0.02,23.00,1.25
2002-08-06,0.02,22.90,1.41
2002-08-13,0.02,23.00,1.71
2002-08-20,0.02,23.10,1.35
2002-08-27,0.02,23.50,1.21
2002-09-03,0.01,22.70,1.69
2002-09-10,0.01,23.20,1.71
2002-09-17,0.01,22.80,1.85
2002-09-24,0.02,22.90,4.43
2002-10-01,0.01,22.90,1.21
2002-10-08,0.01,22.60,1.08
2002-10-15,0.01,22.50,1.03
2002-10-22,0.02,22.60,2.87
2002-10-29,0.01,22.50,2.05
2002-11-05,0.01,22.30,1.20
2002-11-12,0.01,22.30,3.59
2002-11-19,0.02,21.60,2.89
2002-11-26,0.02,21.90,1.06
2002-12-03,0.01,21.50,2.10
2002-12-10,0.01,21.40,1.53
2002-12-17,0.02,20.80,0.96
2002-12-24,0.01,20.90,1.47
2002-12-31,0.02,20.60,1.12
2003-01-07,0.02,20.40,1.71
2003-01-14,0.02,20.60,0.85
2003-01-21,0.02,20.50,1.05
2003-01-28,0.01,20.00,1.32
2003-02-04,0.10,20.30,5.11
2003-02-11,0.01,20.40,1.54
2003-02-18,0.01,20.50,1.89
2003-02-25,0.01,20.30,1.16
2003-03-04,0.01,20.50,0.95
2003-03-11,0.02,20.60,0.88
2003-03-18,0.03,20.40,1.12
2003-03-25,0.03,20.40,1.42
2003-04-01,0.01,20.80,1.74
2003-04-08,0.02,20.80,1.50
2003-04-15,0.01,21.00,1.89
2003-04-22,0.02,20.90,1.39
2003-04-29,0.01,21.60,0.98
2003-05-06,0.01,21.60,0.96
2003-05-13,0.01,21.70,1.03
2003-05-20,0.01,21.90,1.16
2003-05-27,0.01,22.20,1.29
2003-06-03,0.01,21.90,5.85
2003-06-10,0.01,21.80,1.35
2003-06-17,0.01,22.00,1.24
2003-06-24,0.01,22.50,1.40
2003-07-01,0.01,22.50,1.19
2003-07-08,0.01,22.60,1.75
2003-07-15,0.01,22.50,1.30
2003-07-22,0.07,22.40,3.51
2003-07-29,0.01,22.60,1.43
2003-08-05,0.01,22.40,0.92
2003-08-12,0.01,22.20,0.93
2003-08-19,0.01,22.70,1.80
2003-08-26,0.18,22.60,2.61
2003-09-02,0.02,22.90,1.84
2003-09-09,0.02,22.50,1.46
2003-09-16,0.02,22.80,2.78
2003-09-23,0.01,22.20,1.19
2003-09-30,0.01,22.80,2.68
2003-10-07,0.01,22.20,1.09
2003-10-14,0.01,22.40,1.11
2003-10-21,0.01,22.50,1.18
2003-10-28,0.02,22.20,0.86
2003-11-04,0.01,22.30,2.96
2003-11-12,2.88,21.50,5.49
2003-11-18,0.06,21.90,1.14
2003-11-25,0.02,21.40,1.47
2003-12-02,0.01,21.20,1.13
2003-12-09,0.04,21.20,1.54
2003-12-16,0.01,21.30,0.41
2003-12-23,0.01,20.90,1.52
2003-12-30,0.02,19.50,0.57
2004-01-07,0.02,20.20,1.47
2004-01-13,0.01,20.20,0.79
2004-01-20,0.01,20.00,0.89
2004-01-27,0.01,19.60,0.45
